topic,scope
Every global region has seen a steep rise in mobile phone subscriptions,Technology & Media
Internet use became the norm for humanity only very recently,Technology & Media
"Since 2010, the training computation of notable AI systems has doubled every six months",Technology & Media
Investment in generative AI has surged recently,Technology & Media
"Mobile money accounts are surging globally, especially in Africa and Asia",Technology & Media
The price of computer storage has fallen exponentially since the 1950s,Technology & Media
Language-based AI systems have grown rapidly in recent years,Technology & Media
A record number of objects went into space in 2023,Technology & Media
What we know about TikTok content creators,Technology & Media
News on Twitter: Consumed by Most Users and Trusted by Many,Technology & Media
Science and Scientists Held in High Esteem Across Global Publics,Technology & Media
What is Moore's Law?,Technology & Media
The importance of social networks for innovation and productivity,Technology & Media
How Americans Get Local Political News,Technology & Media
Are Facebook and other social media platforms bad for our well-being?,Technology & Media
"People in richer countries spend more on food, but it's a smaller share of their overall spending",Agriculture & Food
Global cereal production has grown much faster than population in the last half-century,Agriculture & Food
More land animals than ever before are slaughtered for meat,Agriculture & Food
Meat preferences vary a lot across different countries,Agriculture & Food
"In the past, most people worked in agriculture; in today's rich countries, only a small share do",Agriculture & Food
One-third of the world's assessed fish stocks are overexploited,Agriculture & Food
Most of the world's farmed fish is produced in East Asia,Agriculture & Food
People in poorer countries get more of their calories from staple crops,Agriculture & Food
The world gets more seafood from aquaculture than wild catch,Agriculture & Food
Richer countries often use much of their crops for animal feed and biofuels,Agriculture & Food
Daily supply of calories per person,Agriculture & Food
Three billion people cannot afford a healthy diet,Agriculture & Food
Yields vs. Land use: how the Green Revolution enabled us to feed a growing population,Agriculture & Food
"In several countries, air travel emissions now surpass pre-pandemic levels",Travel
Global sales of combustion engine cars have peaked,Travel
The share of immigrants in high-income countries doubled between 1990 and 2020,Travel
Commercial flights have become significantly safer in recent decades,Travel
The global number of people aged 65 years and older is set to double within the next thirty years,Population
Women live longer than men in every country in the world,Population
What share of women reach the end of their childbearing years without having children?,Population
Global average life expectancy has more than doubled since 1900,Population
Men are more likely to smoke than women almost everywhere in the world,Population
The age structure of populations varies widely across countries,Population
The plurality of people in the world now live in cities,Population
The global population pyramid: How global demography has changed and what we can expect for the 21st century,Population
"At the peak of the HIV epidemic, AIDS caused more than half of all deaths in some countries",Healthcare
Health spending has been rising across rich countries with different systems,Healthcare
Cardiovascular disease death rates have fallen rapidly in many countries,Healthcare
Rich countries spend 60 times as much on healthcare per person than poor countries,Healthcare
Cancer death rates rise steeply with age,Healthcare
Obesity rates have increased on every continent,Healthcare
Stomach cancer mortality rates have declined in many countries,Healthcare
Infants used to have a higher risk of dying than 80-year-olds,Healthcare
Vaccines accounted for 40% of the decline in infant mortality over the last 50 years,Healthcare
Cancer has replaced cardiovascular diseases as the leading cause of death in several wealthy countries,Healthcare
Deaths from tetanus have been reduced massively,Healthcare
How child mortality has declined in the last two centuries,Healthcare
In which countries do people drink the most alcohol?,Healthcare
Deaths from illicit drugs,Healthcare
Half of all child deaths are linked to malnutrition,Healthcare
Public social spending has increased very substantially in the 20th century,Public Sector
"Most of the world’s foreign aid comes from governments, not philanthropic foundations",Public Sector
"Most Americans continue to favor raising taxes on corporations, higher-income households",Public Sector
The world is getting more of its electricity from renewables but less from nuclear power,Energy
Many African countries are heavily dependent on oil production,Energy
The United States is the world’s largest oil producer,Energy
Every country has now banned the use of leaded gasoline in cars,Energy
30% of the world's electricity came from renewable sources in 2023,Energy
The world’s energy problem,Energy
What are the safest and cleanest sources of energy?,Energy
Why did renewables become so cheap so fast?,Energy
The price of batteries has declined by 97% in the last three decades,Energy
February was cooler in 2025 than in 2024 — but the long-term trend is still warming,Climate & Environment
"The Arctic is the world’s region that has warmed the most, followed by Europe",Climate & Environment
Which countries have contributed the most to historical CO₂ emissions?,Climate & Environment
The world has probably passed “peak air pollution”,Climate & Environment
"Per capita CO₂ emissions have peaked globally, but total emissions are still increasing",Climate & Environment
Global mean sea levels have increased by around 25 centimeters since 1880,Climate & Environment
Packaging is the source of 40% of the planet’s plastic waste,Climate & Environment
Death rates from outdoor air pollution tend to be highest across middle-income countries,Climate & Environment
"The ozone hole over the Antarctic grew rapidly in the 1980s, but stopped growing in the late 1990s",Climate & Environment
Investments in waste management are key to ending plastic pollution,Climate & Environment
"Plastic recycling rates are increasing, but slowly, in many regions",Climate & Environment
How will climate change affect crop yields in the future?,Climate & Environment
Air conditioning causes around 3% of greenhouse gas emissions. How will this change in the future?,Climate & Environment
Is the number of natural disasters increasing?,Climate & Environment
People across developing regions are spending far more time in school than 20 years ago,Education
Nearly half of teenagers globally cannot read with comprehension,Education
The global number of children not attending school has declined by nearly 40% since 2000,Education
Ensure inclusive and quality education for all and promote lifelong learning,Education
Access to basic education: almost 60 million children of primary school age are not in school,Education
How is literacy measured?,Education
"In 2022, the sum of imports and exports across countries amounted to 63% of global GDP",Economy & Work
The price of lighting has dropped over 99.9% since 1700,Economy & Work
The service sector now represents about half of employment across the world,Economy & Work
Recent surges in house prices have affected many — but not all — countries in the European Union,Economy & Work
What Age Do People Around the World Think Is Best to Reach Major Life Milestones?,Economy & Work
Income inequality before and after taxes: how much do countries redistribute income?,Economy & Work
Measuring inequality: what is the Gini coefficient?,Economy & Work
Is globalization an engine of economic development?,Economy & Work
How are incomes adjusted for inflation?,Economy & Work
Structural transformation: how did today’s rich countries become ‘deindustrialized’?,Economy & Work
Many remote workers say they’d be likely to leave their job if they could no longer work from home,Economy & Work
Do workers in richer countries work longer hours?,Economy & Work
How unemployment rates relate to economic attitudes in the EU,Economy & Work
